Name,coef.Sackridge.
Denzel Ward,-0.019484773
Deon Bush,-0.007795875
Deone Bucannon,-0.028529266
Derek Barnett,0.042421565
Derek Wolfe,0.001625946
Derick Roberson,0.083710434
Derrick Nnadi,-0.012657141
Derwin James,0.005529256
Desmond King II,-0.01406397
Devaroe Lawrence,-0.002072007
Devin Bush,-0.023886202
Devin McCourty,-0.015111158
Devin White,0.031779584
Devon Kennard,0.003869266
Dexter Lawrence,-0.007957658
Deyon Sizer,-0.025173548
Dion Jordan,0.010284285
Domata Peko,-0.007151391
Donald Payne,-0.02230639
Donovan Olumba,-0.016622769
Dont'a Hightower,-0.006931257
Dontari Poe,0.014170777
Dontavius Russell,-0.01497784
Dorance Armstrong,-0.014877223
Dre'Mont Jones,0.008169936
Dre Greenlaw,0.025608193
Duke Dawson Jr,-0.017371888
Duke Riley,0.003914133
Duron Harmon,-0.021815697
Dylan Cole,-0.017989918
Earl Thomas,0.053043902
Ed Oliver,0.006096961
Eddie Goldman,6.30E-04
Eddie Jackson,-0.008104798
Eddie Vanderdoes,-0.013931095
Efe Obada,-0.007167073
Eli Ankou,-0.007483805
Elijah Lee,-0.019997671
Emeke Egbule,-0.013639173
Emmanuel Moseley,-0.01202777
Emmanuel Ogbah,0.004395822
Eric Kendricks,-0.010060549
Eric Murray,-0.015493357
Eric Reid,-0.007876467
Eric Rowe,-0.011960303
Eric Weddle,-0.015839641
Eric Wilson,-0.001703123
Erik Harris,0.027137996
Everson Griffen,-0.003354567
Ezekiel Ansah,0.001549756
Fletcher Cox,0.002801318
Folorunso Fatukasi,-0.012840227
Foyesade Oluokun,-0.013852204
Frank Clark,0.002119056
Frank Herron,-0.009253347
Frankie Luvu,0.017538701
Fred Warner,-0.013163035
Freedom Akinmoladun,-0.003834683
Gareon Conley,-0.002026383
Genard Avery,-0.024338079
Geno Atkins,0.001551756
George Odum,-0.018899973
Gerald McCoy,9.49E-04
Gerald Willis,-0.015773771
Germaine Pratt,0.087949479
Grady Jarrett,0.007063799
Greg Gaines,-0.013060008
Grover Stewart,-0.009821207
Ha Ha Clinton-Dix,-0.008723364
Haason Reddick,0.014683032
Hardy Nickerson,-0.017221363
Harold Landry,0.007957739
Harrison Smith,-0.017638804
Harvey Langi,-0.016519837
Henry Anderson,0.004622179
Hercules Mata'afa,0.016680882
Holton Hill,-0.017357017
Ibraheim Campbell,-0.016331784
Ifeadi Odenigbo,0.015153606
Isaac Rochell,0.00914686
Isaiah Buggs,0.008355889
Isaiah Irving,-0.015174772
Isaiah Mack,-2.68E-04
Isaiah McKenzie,-0.010670203
Isaiah Oliver,-0.007940055
J.C. Jackson,0.208173365
Jabaal Sheard,0.004333704
Jabrill Peppers,0.069241058
Jack Crawford,0.001476871
Jacob Martin,0.010312642
Jacob Tuioti-Mariner,-0.009765725
Jadeveon Clowney,0.004690106
Jahlani Tavai,0.001966463
Jahleel Addae,0.203621202
Jaleel Johnson,-0.003038664
Jalen Mills,-0.042534291
Jalen Reeves-Maybin,-0.011746411
Jalen Thompson,-0.015470099
Jalyn Holmes,0.00797269
Jamal Adams,0.025686579
Jamal Davis II,0.078081519
Jamar Taylor,-0.060158884
James Bradberry,-0.017986454
James Burgess,-9.53E-04
James Vaughters,-0.016193659
Jamie Collins,-0.01412294
Jamie Meder,-0.009435378
Janoris Jenkins,-0.005565995
Jaquan Johnson,-0.019328243
Jaquiski Tartt,0.055794619
Jarrad Davis,-0.012986732
Jarran Reed,-0.003017117
Jarrod Wilson,-0.01053207
Jason McCourty,-0.019170116
Jason Pierre-Paul,0.007135507
Javien Elliott,0.038627296
Javon Hargrave,0.001140211
Jaylon Ferguson,-0.004496006
Jaylon Smith,-0.018540999
Jayon Brown,-0.007797173
Jayron Kearse,-0.023569752
Jayrone Elliott,-0.018225284
Jeff Heath,-0.017700768
Jeffery Simmons,0.005334525
Jeremiah Attaochu,-0.010562683
Jeremiah Valoaga,-0.012065901
Jeremy Reaves,-0.020738645
Jermaine Carter,0.016841909
Jermaine Whitehead,-0.0181527
Jerome Baker,-0.001674649
Jerry Hughes,0.005438036
Jerry Tillery,-1.48E-04
Jihad Ward,0.005959145
Jimmie Ward,-0.014031324
Jimmy Moreland,-0.024402357
Jimmy Smith,0.206208276
Joe Schobert,-0.011424404
Joe Thomas,-0.00210675
Joe Walker,-0.01141186
Joel Heath,-0.012418783
Joel Iyiegbuniwe,-0.014712543
Joey Bosa,0.001611115
Joey Ivie,-0.002650599
John Atkins,-0.00939128
John Cominsky,0.018398132
John Jenkins,-0.014796296
John Simon,-0.002729762
Johnathan Hankins,-0.001050991
Jomal Wiltz,-0.012008232
Jonathan Allen,0.010004329
Jonathan Bostic,0.02290779
Jonathan Bullard,-0.012124607
Jonathan Harris,0.002993017
Jonathan Jones,-0.011839748
Jonathan Wynn,-0.011354795
Jordan Evans,-0.004384679
Jordan Hicks,-0.01872563
Jordan Jenkins,-0.001763076
Jordan Lucas,-0.022522024
Jordan Phillips,0.001389014
Jordan Poyer,-0.022835688
Jordan Whitehead,-0.026164745
Jordan Willis,-0.026409315
Josh Allen,8.90E-04
Josh Bynes,-0.016166314
Josh Mauro,-0.015585254
Josh Sweat,0.010634836
Josh Tupou,-0.004489289
Jourdan Lewis,-0.017004643
Juan Thornhill,-0.017194823
Julian Love,-0.005896493
Julian Stanford,-0.008400756
Jullian Taylor,-0.004068579
Jurrell Casey,-0.001861567
Justin Ellis,0.008521081
Justin Hollins,0.036860744
Justin Houston,0.013548053
Justin Jones,-0.008596115
Justin March-Lillard,-0.01512635
Justin Reid,-0.009269182
Justin Simmons,-0.024899315
Justin Zimmer,-0.011401336
Juston Burris,-0.011162621
K'Waun Williams,-0.013083762
K.J. Wright,0.008826737
Kahzin Daniels,-0.023724813
Kamalei Correa,-0.009900414
Kamu Grugier-Hill,-0.032185483
Kareem Martin,-0.014594948
Karl Joseph,-0.010152839
Kendall Fuller,-0.01532755
Kendall Sheffield,-0.018040349
Kenny Clark,0.006532853
Kenny Ladler,-0.011220783
Kenny Moore II,-0.011636173
Kenny Vaccaro,-0.0126804
Kentavius Street,-0.013715862
Kerry Hyder,-0.004401735
Kevin Byard,-0.011225433
Kevin Givens,-0.014262879
Kevin Johnson,-0.008431819
Kevin Pierre-Louis,-0.012730485
Kevin Strong,0.003800942
Khalen Saunders,-0.010039589
Khalil Mack,-1.83E-04
Khari Willis,-0.004367539
Kiko Alonso,-0.024327391
Kingsley Keke,-0.018808454
Kris Boyd,-0.072789157
Kurt Coleman,-0.018356363
Kyle Fuller,-0.01118901
Kyle Love,2.57E-04
Kyle Peko,0.012341755
Kyle Phillips,0.004196355
Kyle Van Noy,0.002870438
Kyle Wilber,-0.010855333
Kyler Fackrell,0.014699072
Kylie Fitts,-0.014994588
Kyron Brown,-0.014784665
Kyzir White,-0.012988282
L.J. Collier,-0.013771113
L.J. Fort,-0.019366983
Lamarcus Joyner,-0.009796619
Landon Collins,0.019221457
LaRoy Reynolds,-0.026405328
Larry Ogunjobi,-0.006832005
Lavonte David,-0.005978177
Lawrence Guy,-0.002433944
Leighton Vander Esch,-0.016203491
Leon Jacobs,-0.009120233
Leonard Floyd,-0.007415683
Leonard Williams,4.33E-04
Lerentee McCray,-0.012451304
LeShaun Sims,-0.010751117
Levi Wallace,-0.022384636
Linval Joseph,2.35E-04
Logan Ryan,-0.015278806
Lorenzo Alexander,-0.014569341
Lorenzo Carter,-0.001974051
Luke Kuechly,-0.013896001
Mack Wilson,-0.016810684
Mackensie Alexander,-0.02752899
Malcolm Jenkins,0.005496185
Malcolm Smith,-0.015838611
Malcom Brown,-0.01564627
Maliek Collins,0.00325671
Malik Hooker,-0.017818372
Malik Reed,-0.00999953
Manti Te'o,-0.011744396
Marcell Harris,-0.01115789
Marcus Davenport,0.019209795
Marcus Maye,-0.026645227
Marcus Peters,-0.028590218
Marcus Williams,-0.030585088
Margus Hunt,-0.010269543
Mario Addison,-8.97E-04
Mario Edwards Jr,0.001405776
Mark Barron,0.001856798
Markus Golden,-0.006419292
Marlon Humphrey,-0.018885748
Marquel Lee,-0.00860731
Marqui Christian,0.135673931
Marquis Haynes,-0.008982543
Matt Dickerson,4.89E-04
Matt Ioannidis,-4.54E-04
Matt Judon,0.00231062
Matt Milano,-0.020110869
Maurice Canady,-0.020596917
Maurice Hurst,0.002614992
Maxx Crosby,-0.003387894
Melvin Ingram III,-4.67E-04
Micah Hyde,-0.015918516
Michael Bennett,-0.002139414
Michael Brockers,0.011677157
Michael Dogbe,0.003354301
Michael Pierce,-0.011027952
Michael Thomas,-0.007517867
Mike Adams,-0.004125831
Mike Daniels,0.004007989
Mike Edwards,-0.02093185
Mike Hilton,0.058642483
Mike Pennel,-0.010859087
Mike Purcell,0.001371852
Miles Brown,-0.004732041
Miles Killebrew,-0.006569002
Montez Sweat,6.73E-04
Montravius Adams,-0.010065148
Montre Hartage,-0.014657288
Morgan Burnett,-0.021468639
Morgan Fox,0.008253572
Mychal Kendricks,0.008133483
Myles Garrett,0.001859598
Myles Jack,-0.011913504
NA,0.003293764
Najee Goode,-0.008078141
Nate Hairston,-0.013202036
Nate Orchard,-9.34E-04
Nathan Gerry,-0.013450115
Nathan Shepherd,0.001585602
Ndamukong Suh,0.00317157
Nicholas Morrow,-0.01497456
Nick Bosa,2.21E-04
Nick Kwiatkoski,-0.010849263
Nick Vigil,-0.037330339
Nick Williams,-0.003979236
Nickell Robey-Coleman,-0.022947842
Nigel Bradham,-0.025269879
Noah Spence,-0.018681298
Ogbonnia Okoronkwo,0.005171598
Olasunkanmi Adeniyi,0.007370319
Olivier Vernon,0.042781629
Olsen Pierre,-0.013119699
Oren Burks,-0.01717468
Oshane Ximines,-0.001117328
Patrick Chung,-0.013400684
Patrick O'Connor,-0.021242625
Patrick Onwuasor,-0.016413061
Patrick Peterson,-0.013829055
Patrick Ricard,0.041718965
Patrick Robinson,-0.00548654
Pete Robertson,-0.020818092
Peter Kalambayi,0.04877552
Pierre Desir,-0.011444786
PJ Hall,-0.006221497
PJ Williams,0.046155903
Poona Ford,-8.08E-04
Porter Gustin,-0.013876869
Preston Smith,-0.005812911
Prince Amukamara,-0.009983418
Quincy Williams,0.045371639
Quinnen Williams,-0.006212589
Quinton Dunbar,-0.013984955
Quinton Jefferson,-0.003060972
Raekwon McMillan,0.001203348
Rakeem Nunez-Roches,0.004038588
Rashaan Evans,-0.016600175
Rashaan Melvin,-0.010604936
Rashad Fenton,-0.023987524
Rashan Gary,-0.003524449
Rasheem Green,-0.001434624
Rasul Douglas,-0.020066857
Reggie Gilbert,-0.010858241
Reggie Ragland,-0.01050162
Renell Wren,-0.008253751
Reshad Jones,-0.010778267
Ricardo Allen,-0.010902141
Richard Sherman,-0.013685339
RJ McIntosh,-0.01391739
Rob McCray,-0.00801611
Robert Nkemdiche,-0.010892393
Robert Quinn,0.009280293
Robert Spillane,-0.014034406
Rodney Gunter,2.17E-04
Rodney McLeod,-0.010677093
Romeo Okwara,0.004741227
Ronald Blair III,-0.022022226
Ronnie Harrison,0.018744612
Roquan Smith,-0.011843494
Ross Cockrell,-0.014168228
Roy Robertson-Harris,3.88E-04
Ryan Anderson,0.001274359
Ryan Kerrigan,6.27E-05
Sam Acho,0.002350487
Sam Eguavoen,-0.011171821
Sam Hubbard,0.005807671
Samson Ebukam,-0.003914304
Saquan Hampton,-0.018669113
Sean Lee,0.008643539
Sean Murphy-Bunting,0.048753142
Sebastian Joseph-Day,-0.013075205
Shamar Stephen,-9.23E-04
Shaq Lawson,0.021423887
Shaq Thompson,-8.61E-04
Shaquem Griffin,0.005673538
Shaquil Barrett,-0.003912387
Shaquill Griffin,-0.015362927
Sharif Finch,-0.001786584
Shaun Dion Hamilton,0.0465232
Shawn Williams,-0.018830852
Shelby Harris,-0.001612523
Sheldon Day,-0.0103685
Sheldon Rankins,0.001063958
Sheldon Richardson,0.00216098
Sheldrick Redwine,-0.012880838
Shilique Calhoun,0.002207601
Shy Tuttle,-0.004178093
Sione Takitaki,-0.012998728
Siran Neal,-5.54E-04
Solomon Thomas,-0.003399788
Stacy McGee,-0.00476612
Star Lotulelei,-0.00103239
Stephen Weatherly,0.00305097
Stephon Gilmore,0.076561243
Stephone Anthony,-6.86E-04
Steve Longa,-0.005082973
Steve McLendon,-0.003580052
Sylvester Williams,-6.62E-04
T.J. Carrie,0.013549832
T.J. Edwards,-0.029111905
T.J. Watt,0.009106064
Taco Charlton,-0.002062294
Tahir Whitehead,-0.011099812
Takkarist McKinley,0.025331936
Tanoh Kpassagnon,0.007001202
Tanzel Smart,-0.006199508
Tarell Basham,0.013579307
Taron Johnson,-0.019268904
Tarvarius Moore,-0.009030472
Tashaun Gipson,-0.007386323
Taven Bryan,0.001859708
Tavon Wilson,0.015720972
Taylor Rapp,-0.019400704
Taylor Stallworth,-0.002404337
Terrell Edmunds,-0.020245934
Terrell McClain,-0.019989967
Terrell Suggs,-0.001613641
Terrence Brooks,0.00428104
Thomas Davis Sr,-0.020902789
Tim Settle,0.017731001
Timmy Jernigan,-0.0083599
Todd Davis,0.047926351
Tracy Walker,-0.009253388
Trae Waynes,-0.018223343
Tramaine Brock Sr,-0.013834655
Tramon Williams,-0.01929338
Travin Howard,-0.02708418
Trayvon Mullen,-0.012196658
Tre'Davious White,-0.024013835
Tre Boston,-0.013272296
Tre Flowers,-0.005544386
Tre Herndon,-0.017440089
Tremaine Edmunds,-0.016147527
Trent Harris,0.001478712
Trent Murphy,0.004490735
Trevon Coley,-0.003189549
Trey Flowers,-0.003150892
Trey Hendrickson,0.00969288
Treyvon Hester,-0.012153881
Troy Apke,-0.038005293
Troy Reeder,-0.017722408
Trysten Hill,-0.004421044
TY McGill,-0.019580791
Tyeler Davison,-0.007001896
Tyler Lancaster,-0.003032672
Tyquan Lewis,0.007281038
Tyrann Mathieu,0.011601133
Tyrell Adams,-0.01215403
Tyson Alualu,-0.002588562
Tyus Bowser,0.019217656
Uchenna Nwosu,0.011466699
Ugo Amadi,-0.019384394
Vernon Butler,-0.00298053
Vernon Hargreaves III,-0.014727501
Vic Beasley Jr,0.004044118
Vince Biegel,0.009136879
Vince Williams,0.00986848
Vincent Taylor,0.007255022
Vinny Curry,-0.005165387
Vita Vea,0.004464463
Von Miller,0.001428526
Vonn Bell,0.073852651
Walt Aikens,-0.008463454
Wes Horton,-0.002491697
Wesley Woodyard,-0.01675621
Whitney Mercilus,0.003018024
Will Compton,-0.005955266
Will Harris,-0.008957039
Will Parks,-0.029380729
William Gholston,0.004550901
William Jackson,-0.018663926
Xavier Woods,-0.01420029
Yannick Ngakoue,-0.001162525
Za'Darius Smith,0.004234399
Zach Cunningham,0.037355595
Zach Kerr,-0.001559226
Zach Sieler,-0.007896261
